# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-01 08:42:42 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02398000 CHATTOOGA RIVER AT SUMMERVILLE, GA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02398000
#            TS   parameter     statistic     Description
#         37947       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	37947_00060_00003	37947_00060_00003_cd
5s	15s	20d	14n	10s
USGS	02398000	1937-03-11	268	A
USGS	02398000	1937-03-12	247	A
USGS	02398000	1937-03-13	258	A
USGS	02398000	1937-03-14	186	A
USGS	02398000	1937-03-15	258	A
USGS	02398000	1937-03-16	176	A
USGS	02398000	1937-03-17	186	A
USGS	02398000	1937-03-18	196	A
USGS	02398000	1937-03-19	226	A
USGS	02398000	1937-03-20	352	A
USGS	02398000	1937-03-21	289	A
USGS	02398000	1937-03-22	268	A
USGS	02398000	1937-03-23	236	A
USGS	02398000	1937-03-24	258	A
USGS	02398000	1937-03-25	352	A
USGS	02398000	1937-03-26	289	A
USGS	02398000	1937-03-27	268	A
USGS	02398000	1937-03-28	216	A
USGS	02398000	1937-03-29	289	A
USGS	02398000	1937-03-30	167	A
USGS	02398000	1937-03-31	268	A
USGS	02398000	1937-04-01	158	A
USGS	02398000	1937-04-02	247	A
USGS	02398000	1937-04-03	167	A
USGS	02398000	1937-04-04	186	A
USGS	02398000	1937-04-05	373	A
USGS	02398000	1937-04-06	416	A
USGS	02398000	1937-04-07	289	A
USGS	02398000	1937-04-08	331	A
USGS	02398000	1937-04-09	310	A
USGS	02398000	1937-04-10	289	A
USGS	02398000	1937-04-11	216	A
USGS	02398000	1937-04-12	258	A
USGS	02398000	1937-04-13	196	A
USGS	02398000	1937-04-14	216	A
USGS	02398000	1937-04-15	176	A
USGS	02398000	1937-04-16	176	A
USGS	02398000	1937-04-17	226	A
USGS	02398000	1937-04-18	132	A
USGS	02398000	1937-04-19	167	A
USGS	02398000	1937-04-20	167	A
USGS	02398000	1937-04-21	158	A
USGS	02398000	1937-04-22	186	A
USGS	02398000	1937-04-23	158	A
USGS	02398000	1937-04-24	854	A
USGS	02398000	1937-04-25	1420	A
USGS	02398000	1937-04-26	664	A
USGS	02398000	1937-04-27	482	A
USGS	02398000	1937-04-28	394	A
USGS	02398000	1937-04-29	2420	A
USGS	02398000	1937-04-30	2010	A
USGS	02398000	1937-05-01	1200	A
USGS	02398000	1937-05-02	950	A
USGS	02398000	1937-05-03	1660	A
USGS	02398000	1937-05-04	1320	A
USGS	02398000	1937-05-05	2220	A
USGS	02398000	1937-05-06	1400	A
USGS	02398000	1937-05-07	902	A
USGS	02398000	1937-05-08	687	A
USGS	02398000	1937-05-09	549	A
USGS	02398000	1937-05-10	526	A
USGS	02398000	1937-05-11	416	A
USGS	02398000	1937-05-12	352	A
USGS	02398000	1937-05-13	394	A
USGS	02398000	1937-05-14	373	A
USGS	02398000	1937-05-15	310	A
